expression	reading	level	meaning	tags
うち	うち	5	home; house; my place	Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5
ちょうだい	ちょうだい	3	-- colloquial form of ください; typically used by children or women --	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
一	いち	5	one	JLPT JLPT_3 JLPT_5 JLPT_N5
上等	じょうとう	3	first class, very good	JLPT JLPT_2 JLPT_3
中間	ちゅうかん	2	middle, midway, interim	JLPT JLPT_2
交通	こうつう	4	traffic, transportation	JLPT JLPT_N4
会場	かいじょう	4	venue, meeting place	JLPT JLPT_N4
修飾	しゅうしょく	3	ornamentation; modification (gram)	JLPT_1 JLPT JLPT_3
八	はち	5	eight	JLPT JLPT_5 JLPT_N5
加速	かそく	2	acceleration	JLPT JLPT_2
医師	いし	3	doctor, physician	JLPT JLPT_2 JLPT_3
各自	かくじ	2	individual, each	JLPT JLPT_2
味	あじ	4	flavor, taste	JLPT JLPT_N4
回数	かいすう	2	number of times, frequency	JLPT JLPT_2
地点	ちてん	2	site, point on a map	JLPT JLPT_2
墨	すみ	3	ink	JLPT JLPT_2 JLPT_3
字	じ	4	letter; character	Genki Genki_Ln.20 JLPT JLPT_N4
対照	たいしょう	2	contrast, antithesis, comparison	JLPT JLPT_2
就く	つく	3	to settle in (place), to take (seat position), to study (under teacher)	JLPT JLPT_2 JLPT_3
工場	こうじょう	4	factory	Genki Genki_Ln.21 Intermediate_Japanese_Ln.15 JLPT JLPT_N4
幼稚	ようち	2	infancy, childish, infantile	JLPT JLPT_2
心臓	しんぞう	3	heart	JLPT JLPT_2 JLPT_3
感情	かんじょう	3	emotion(s), feeling(s), sentiment	JLPT JLPT_2 JLPT_3
打つ	うつ	4	to hit, to strike	JLPT JLPT_N4
捜査	そうさ	3	search (esp. in criminal investigations, investigation)	JLPT_1 JLPT JLPT_3
改造	かいぞう	2	remodeling	JLPT JLPT_2
斜	はす	2	diagonal	JLPT JLPT_2
最中	さいちゅう	3	in the middle of	JLPT JLPT_2 JLPT_3
果実	かじつ	2	fruit	JLPT JLPT_2
次	つぎ	5	next	Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5
死体	したい	2	corpse	JLPT JLPT_2
沿う	そう	3	to run along, to follow	JLPT_1 JLPT JLPT_3
清掃	せいそう	2	cleaning	JLPT JLPT_2
激増	げきぞう	2	sudden increase	JLPT JLPT_2
無視	むし	3	disregard, ignore	JLPT JLPT_2 JLPT_3
生	せい	3	birth	JLPT JLPT_2 JLPT_3
直	じき	3	immediately, soon, shortly	JLPT JLPT_2 JLPT_3
瞬間	しゅんかん	3	moment, second	JLPT JLPT_2 JLPT_3
社会	しゃかい	4	society	JLPT JLPT_N4
立つ	たつ	5	to stand up	Genki Genki_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5
純情	じゅんじょう	2	pure heart	JLPT JLPT_2
縁	ふち	3	edge, rim	JLPT JLPT_2 JLPT_3
自治	じち	2	self-government, autonomy	JLPT JLPT_2
血	ち	4	blood	JLPT JLPT_N4
視点	してん	3	opinion, point of view, visual point	JLPT_1 JLPT JLPT_3
詩人	しじん	3	poet	JLPT JLPT_2 JLPT_3
財産	ざいさん	3	property, fortune, assets	JLPT JLPT_2 JLPT_3
賞金	しょうきん	2	prize, monetary award	JLPT JLPT_2
辞典	じてん	4	encyclopedia, reference book	JLPT JLPT_N4
通用	つうよう	2	popular use, circulation	JLPT JLPT_2
過剰	かじょう	2	excess, over-	JLPT JLPT_2
重点	じゅうてん	2	important point, lay stress on, emphasis	JLPT JLPT_2
鑑賞	かんしょう	2	appreciation	JLPT JLPT_2
隅	すみ	4	corner	JLPT JLPT_N4
靴	くつ	5	shoes, footwear	Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
首相	しゅしょう	3	Prime Minister	JLPT JLPT_2 JLPT_3
～勝	～しょう	2	count for victory	JLPT JLPT_2
～帳	～ちょう	2	~ book, notebook	JLPT JLPT_2
～産	～さん	2	made in ~	JLPT JLPT_2
～足	～そく	2	counter for shoes	JLPT JLPT_2
