expression	reading	level	meaning	tags
×	ばつ	2	cross	JLPT JLPT_2
いつ	いつ	5	when	Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5
うち	うち	5	home; house; my place	Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5
すっと	すっと	4	straight, quickly	JLPT JLPT_N4
すり	すり	4	pickpocket	JLPT JLPT_N4
する	する	2	to print	JLPT JLPT_2
ずっと	ずっと	3	for a long time; all the time; consecutively	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki
ずれる	ずれる	3	move, off the point	JLPT JLPT_2 JLPT_3
そう	そう	4	really, (is that) so; yes, right	JLPT JLPT_N4
そっと	そっと	3	softly, gently	JLPT JLPT_2 JLPT_3
ちょうだい	ちょうだい	3	-- colloquial form of ください; typically used by children or women --	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
ちょっと	ちょっと	5	a little, somewhat; just a little, somewhat	Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5
はず	はず	4	it should be so	JLPT JLPT_N4
まず	まず	4	first (of all), to start with	Genki Genki_Ln.18 JLPT JLPT_N4
もし	もし	4	if	JLPT JLPT_N4
シャツ	シャツ	5	shirt	Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5
バス	バス	5	bus; bath; bass	Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_1 JLPT_5 JLPT_N5
ミス	ミス	3	miss (mistake, error, failure), Miss	JLPT_1 JLPT JLPT_2 JLPT_3
一	いち	5	one	JLPT JLPT_3 JLPT_5 JLPT_N5
一層	いっそう	3	much more, still more	JLPT JLPT_2 JLPT_3
一生	いっしょう	3	throughout (one's) life	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
七	しち	5	seven	JLPT JLPT_3 JLPT_5 JLPT_N5
丈夫	じょうぶ	5	strong, solid, durable	JLPT JLPT_5 JLPT_N5
上	じょう	3	first volume; superior quality; governmental	JLPT JLPT_2 JLPT_3
上司	じょうし	3	one's superior	JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.9
上品	じょうひん	2	refined, elegant, well-mannered	JLPT JLPT_2
上等	じょうとう	3	first class, very good	JLPT JLPT_2 JLPT_3
不足	ふそく	3	insufficiency, shortage	JLPT JLPT_2 JLPT_3
中	ちゅう	3	inside, middle, among	JLPT JLPT_2 JLPT_3
中世	ちゅうせい	2	Middle Ages, medieval times	JLPT JLPT_2
中学	ちゅうがく	3	middle school, junior high school	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1
中心	ちゅうしん	3	center, core	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
中性	ちゅうせい	2	neuter gender, neutral	JLPT JLPT_2
中止	ちゅうし	3	suspension, stoppage, discontinuance	JLPT JLPT_2 JLPT_3
中間	ちゅうかん	2	middle, midway, interim	JLPT JLPT_2
主張	しゅちょう	3	claim, insistence, assertion	JLPT JLPT_2 JLPT_3
主義	しゅぎ	3	doctrine, cause, principle	JLPT JLPT_2 JLPT_3
主要	しゅよう	3	chief, main	JLPT JLPT_2 JLPT_3
乗車	じょうしゃ	2	taking a train, entraining	JLPT JLPT_2
乾燥	かんそう	2	dry, arid, insipid, dehydrated	JLPT JLPT_2
事件	じけん	3	event, affair, incident	JLPT JLPT_2 JLPT_3
交差	こうさ	2	cross	JLPT JLPT_2
交通	こうつう	4	traffic, transportation	JLPT JLPT_N4
人口	じんこう	4	population	Intermediate_Japanese_Ln.4 JLPT JLPT_N4
人工	じんこう	3	artificial, man made, human work,	JLPT JLPT_2 JLPT_3
人生	じんせい	3	(human) life (e.g., conception to death)	JLPT JLPT_2 JLPT_3
人造	じんぞう	2	man-made, synthetic, artificial	JLPT JLPT_2
人類	じんるい	3	mankind, humanity	JLPT JLPT_2 JLPT_3
付く	つく	3	to adjoin, to be attached, to adhere	JLPT JLPT_2 JLPT_3
付属	ふぞく	2	being attached (to), being affiliated (to), belonging (to), going with	JLPT JLPT_2
会場	かいじょう	4	venue, meeting place	JLPT JLPT_N4
位置	いち	3	place, position	JLPT JLPT_2 JLPT_3
住	じゅう	3	dwelling, living	JLPT_1 JLPT JLPT_3
住む	すむ	5	to reside, to live in	JLPT JLPT_3 JLPT_5 JLPT_N5
体操	たいそう	2	gymnastics, physical exercises, calisthenics	JLPT JLPT_2
価値	かち	3	value, worth, merit	JLPT JLPT_2 JLPT_3
信仰	しんこう	3	(religious) faith, belief	JLPT JLPT_2 JLPT_3
修正	しゅうせい	3	amendment, correction	JLPT JLPT_2 JLPT_3
修飾	しゅうしょく	3	ornamentation; modification (gram)	JLPT_1 JLPT JLPT_3
像	ぞう	3	statue, image	JLPT_1 JLPT JLPT_3
僧	そう	3	monk, priest	JLPT_1 JLPT JLPT_3
優勝	ゆうしょう	3	overall victory, championship	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7
先週	せんしゅう	5	last week	Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
児童	じどう	2	children, juvenile	JLPT JLPT_2
全	ぜん	3	all, whole, entire	JLPT JLPT_2 JLPT_3
全集	ぜんしゅう	2	complete works	JLPT JLPT_2
八	はち	5	eight	JLPT JLPT_5 JLPT_N5
公衆	こうしゅう	2	the public	JLPT JLPT_2
内	うち	4	within, inside	JLPT JLPT_N4
再三	さいさん	2	again and again, repeatedly	JLPT JLPT_2
初～	しょ～	2	first ~	JLPT JLPT_2
刷る	する	3	to print	JLPT JLPT_2 JLPT_3
刺す	さす	2	to pierce, to stab, to prick, to thrust	JLPT JLPT_2
劇場	げきじょう	3	theater, playhouse	JLPT JLPT_2 JLPT_3
加速	かそく	2	acceleration	JLPT JLPT_2
動詞	どうし	3	verb	JLPT JLPT_2 JLPT_3
勘定	かんじょう	3	calculation, counting, consideration	JLPT JLPT_2 JLPT_3
勝ち	かち	3	win, victory	JLPT JLPT_2 JLPT_3
勝つ	かつ	4	to win	JLPT JLPT_N4
勝負	しょうぶ	2	victory or defeat, game	JLPT JLPT_2
包丁	ほうちょう	2	kitchen knife, carving knife	JLPT JLPT_2
包装	ほうそう	2	packing, wrapping	JLPT JLPT_2
医師	いし	3	doctor, physician	JLPT JLPT_2 JLPT_3
十	じゅう	5	ten	JLPT JLPT_3 JLPT_5 JLPT_N5
千	せん	5	thousand	JLPT JLPT_5 JLPT_N5
協調	きょうちょう	3	co-operation, conciliation, harmony	JLPT_1 JLPT JLPT_3
友情	ゆうじょう	3	friendship, fellowship	JLPT JLPT_2 JLPT_3
口	くち	5	job opening; mouth	Intermediate_Japanese Intermediate_Japanese_Ln.11 Intermediate_Japanese_Ln.8 JLPT JLPT_5 JLPT_N5
司会	しかい	2	host, chairperson	JLPT JLPT_2
各地	かくち	2	various parts of the country	JLPT JLPT_2 Intermediate_Japanese_Ln.10 Intermediate_Japanese
各自	かくじ	2	individual, each	JLPT JLPT_2
吊る	つる	2	to hang	JLPT JLPT_2
同士	どうし	3	one another, companion, comrade	JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.9
同志	どうし	3	same mind, comrade, kindred soul	JLPT_1 JLPT JLPT_3
同時	どうじ	3	simultaneous(ly), same time	JLPT JLPT_2 JLPT_3
名人	めいじん	3	master, expert	JLPT JLPT_2 JLPT_3
吸う	すう	5	to breathe in, to suck	JLPT JLPT_3 JLPT_5 JLPT_N5
周囲	しゅうい	3	surroundings, circumference, environs	JLPT JLPT_2 JLPT_3
味	あじ	4	flavor, taste	JLPT JLPT_N4
商品	しょうひん	3	commodity, merchandise	JLPT JLPT_2 JLPT_3
商店	しょうてん	2	shop, business firm	JLPT JLPT_2
商社	しょうしゃ	2	trading company	JLPT JLPT_2
善	ぜん	3	good, virtue	JLPT JLPT_2 JLPT_3
四	し	5	four	JLPT JLPT_3 JLPT_5 JLPT_N5
四季	しき	2	four seasons	JLPT JLPT_2
四角	しかく	3	square	JLPT JLPT_2 JLPT_3
回数	かいすう	2	number of times, frequency	JLPT JLPT_2
団地	だんち	2	housing complex	JLPT JLPT_2
図	ず	3	figure, drawing, illustration	JLPT JLPT_2 JLPT_3
土地	とち	3	plot of land, lot, soil	JLPT JLPT_2 JLPT_3
